"abany","abpoor","age","attend","bigbang","cappun","childs","class","closeblk","degree","educ","evolved","fear","fechld","fefam","getahead","gunlaw","happy","hrs1","income06","letdie1","letin1","marhomo","marital","news","obey","paeduc","parsol","partnrs5","pillok","polviews","postlife","pray","premarsx","PRES08","racecen1","rank","relig","region","satjob","sex","sexfreq","spanking","SPKMSLM","thnkself","trust","tvhours","wwwhr","xmarsex"
1,1,75,3,,,0,3,5,3,16,,1,3,3,2,1,2,,24,,3,1,5,1,,16,,0,1,2,,5,3,1,1,5,1,2,,2,,2,1,,,4,0,
2,2,,1,,1,1,4,7,4,20,2,2,,,2,1,2,,,,,4,3,,5,8,1,2,,6,1,2,,,1,2,2,2,1,2,6,,2,1,2,,,1
,,24,0,,,0,3,,1,14,,,2,4,,,2,,,1,4,,5,3,4,14,1,,4,,1,3,3,1,1,6,4,2,2,1,,2,,2,2,5,24,
2,1,26,1,,1,0,2,6,4,20,,2,3,3,2,2,2,45,16,1,4,1,5,2,,,,1,2,5,1,2,4,2,5,5,2,2,4,1,,1,2,,,2,10,2
1,1,47,0,1,2,3,3,,4,19,1,1,,,1,1,2,30,22,,,1,1,,5,12,4,1,,2,2,6,,1,1,,3,2,2,2,,,1,1,1,,,
2,2,55,8,,1,0,1,7,1,13,,1,2,2,2,2,2,,12,2,4,5,3,4,,16,,,4,6,1,1,1,2,1,1,1,2,4,2,,1,,,,2,,1
1,1,71,1,,1,1,3,9,3,16,,1,,,1,1,2,35,24,,,2,1,,4,,1,1,,2,1,6,,1,2,3,1,2,2,1,2,,1,1,1,,,1
1,1,63,0,1,1,0,3,5,4,17,1,2,,,1,1,2,20,22,,,3,1,,4,,2,1,,4,1,2,,,1,3,1,1,1,1,,,1,1,1,,,2
1,1,50,0,,1,2,3,4,1,12,,2,3,3,1,1,2,46,10,1,4,3,5,1,,8,,2,2,4,,2,4,,1,5,1,1,2,2,,2,2,,,4,7,2
,,60,5,,1,3,3,,1,12,,,4,3,,,1,38,20,1,3,,3,4,4,12,3,5,4,5,1,4,4,2,1,5,1,1,1,1,1,1,,2,1,3,10,
1,2,33,2,,,4,1,5,2,14,,2,4,2,1,1,3,,14,1,4,2,1,4,,12,,2,1,4,1,3,4,,1,5,2,1,2,2,5,2,1,,,3,1,1
,,40,0,,1,2,3,,4,18,,,4,4,,,2,40,24,1,4,,1,4,4,12,2,1,2,6,1,5,4,2,1,4,4,1,2,2,2,2,,1,1,1,35,
,2,68,1,,1,3,3,5,1,12,,2,,,1,1,2,,15,,,4,1,,3,8,2,,,5,,2,,,1,8,2,1,,1,,,2,5,1,,,
,,71,7,,1,3,3,,4,18,,,2,3,,,2,,25,2,4,,1,1,4,13,1,1,4,4,1,1,4,2,1,,1,9,,1,,2,,1,1,1,10,
,,28,2,,1,0,4,,3,16,,,4,2,,,2,60,22,1,3,,5,1,4,20,2,4,1,4,2,6,4,1,1,1,4,9,2,1,6,3,,2,1,1,5,
,,49,0,1,1,0,3,,1,12,2,,3,3,,,2,40,20,2,3,,3,5,5,4,3,1,1,5,1,1,4,1,2,5,1,9,2,1,5,2,,1,1,4,20,
,,66,4,,1,2,3,,4,16,,,4,3,,,3,,17,1,5,,4,1,5,12,5,0,3,4,1,1,4,,1,7,2,9,2,2,,2,,2,1,4,15,
2,2,36,7,,2,2,2,7,3,20,2,2,,,3,1,2,33,20,,,2,1,,4,,2,1,,2,1,2,,1,1,7,1,9,1,2,3,,1,1,2,,,1
2,2,40,3,,1,5,3,1,0,6,,2,,,1,1,3,48,14,,,2,1,,1,,2,2,,3,2,2,,,1,5,2,9,3,2,3,,2,2,2,,,1
